Timestamp,Age group , Which fast food chains do you visit most often?, Favorite cafe chain for coffee/tea?,How often do you eat at fast food chains/cafes?,Do you prefer online delivery or offline dining?,Preferred fast food delivery app?,Average order value range (Fast food chains / Cafes),Typical Time of ordering,"Thank you for participating in this survey!
Your valuable responses will help us understand food consumption behavior and emerging delivery trends as part of our academic research project.

We truly appreciate your time and support. 😊",Email Address
3/26/2026 19:17:21,18-21,Local fast food joints,Local cafes,Daily,Mostly offline,Takeaway ,₹200-500,Night,,
3/26/2026 19:52:49,21-25,Dominos,Local cafes,3-5 times a week,Mostly offline,Zomato,₹200-500,Evening snacks,,
3/26/2026 20:05:26,18-21,McDonalds,Cafe Coffee Day (CCD),Weekly,Mostly online delivery,Zepto Cafe,₹200-500,Evening snacks,,
3/26/2026 20:24:02,18-21,Dominos,Local cafes,Rarely,50-50 both,Zomato,"₹500-1,000",Lunch,thank you!,
3/26/2026 20:28:09,18-21,Burger King,Local cafes,3-5 times a week,Mostly offline,Swiggy,₹200-500,Lunch,,
3/26/2026 21:46:46,18-21,McDonalds,Starbucks,Weekly,Mostly offline,Zomato,₹200-500,Evening snacks,,
3/26/2026 21:58:02,Under 18,McDonalds,Local cafes,3-5 times a week,Mostly online delivery,Swiggy,₹200-500,Night,,
3/26/2026 23:27:03,18-21,Dominos,Local cafes,2-3 times a month,Mostly offline,Zomato,"₹500-1,000",Evening snacks,,
3/30/2026 23:46:34,18-21,Dominos,Chaayos,Weekly,Mostly online delivery,Zomato,₹200-500,Lunch,,
4/1/2026 14:16:33,18-21,KFC,Local cafes,3-5 times a week,Mostly online delivery,Swiggy,₹200-500,Night,,
4/1/2026 14:19:18,21-25,Dominos,Cafe Coffee Day (CCD),2-3 times a month,50-50 both,Zomato,₹200-500,Evening snacks,,
4/1/2026 14:19:38,21-25,Dominos,Cafe Coffee Day (CCD),2-3 times a month,Mostly offline,Swiggy,"₹500-1,000",Evening snacks,Hi hi,
4/1/2026 14:30:13,21-25,Dominos,Cafe Coffee Day (CCD),3-5 times a week,50-50 both,Zomato,₹200-500,Night,"Thank you
",
4/1/2026 14:35:58,18-21,Local fast food joints,Cafe Coffee Day (CCD),Weekly,Mostly online delivery,Zomato,₹200-500,Evening snacks,,
4/1/2026 14:40:51,18-21,Local fast food joints,Local cafes,Rarely,50-50 both,Swiggy,₹200-500,Night,,
4/1/2026 15:07:57,21-25,KFC,Cafe Coffee Day (CCD),3-5 times a week,50-50 both,Zomato,"₹500-1,000",Evening snacks,,
4/1/2026 16:22:50,18-21,McDonalds,Chaayos,Weekly,50-50 both,Zomato,₹200-500,Night,,
4/1/2026 17:11:34,21-25,Local fast food joints,My Kitchen,Rarely,Mostly offline,Swiggy,"₹500-1,000",Night,,
4/1/2026 19:02:01,18-21,McDonalds,Cafe Coffee Day (CCD),2-3 times a month,50-50 both,Zomato,₹200-500,Night,,
4/1/2026 19:04:30,18-21,Burger King,Costa Coffee,Daily,Mostly online delivery,Zepto Cafe,₹200-500,Night,,
4/1/2026 19:04:38,18-21,Burger King,Local cafes,Weekly,Mostly offline,Zomato,₹200-500,Evening snacks,,
4/1/2026 19:09:18,18-21,Taco Bell,Local cafes,Weekly,50-50 both,Swiggy,₹200-500,Night,,
4/1/2026 19:11:23,18-21,Dominos,Costa Coffee,Weekly,Mostly online delivery,Swiggy,₹200-500,Night,,
4/1/2026 19:13:55,18-21,Dominos,Local cafes,Daily,50-50 both,Swiggy,"₹500-1,000",Night,Thanks ,
4/1/2026 19:43:38,18-21,Local fast food joints,Tim Hortons,Rarely,Mostly online delivery,Swiggy,₹200-500,Evening snacks,,
4/1/2026 20:30:24,18-21,Dominos,Starbucks,Daily,50-50 both,Zomato,₹200-500,Evening snacks,,
4/1/2026 22:45:22,18-21,Subway,Cafe Coffee Day (CCD),2-3 times a month,Mostly online delivery,Swiggy,₹200-500,Night,,
4/1/2026 23:55:45,21-25,Dominos,Local cafes,3-5 times a week,50-50 both,Zomato,₹200-500,Night,,
4/2/2026 0:39:07,21-25,Dominos,Local cafes,3-5 times a week,Mostly online delivery,Zomato,₹200-500,Evening snacks,,
4/2/2026 12:11:42,18-21,La pinoz,CSB,3-5 times a week,Mostly online delivery,Swiggy,₹200-500,Lunch,,
4/2/2026 12:14:20,18-21,Dominos,Costa Coffee,3-5 times a week,50-50 both,Direct from restaurant app,₹200-500,Night,,
4/2/2026 12:15:09,Under 18,Dominos,Cafe Coffee Day (CCD),Rarely,50-50 both,Zomato,₹200-500,Night,Good ,
4/2/2026 12:15:38,Under 18,Pizza Hut,Starbucks,Daily,Mostly offline,Zomato,₹200-500,Night,Good ,
4/2/2026 12:15:59,18-21,McDonalds,Tim Hortons,Daily,50-50 both,Zomato,"₹500-1,000",Evening snacks,,
4/2/2026 12:16:02,18-21,McDonalds,Barista,Daily,Mostly online delivery,Zomato,"₹500-1,000",Evening snacks,,
4/2/2026 12:16:12,18-21,Burger King,Barista,Rarely,Mostly online delivery,Swiggy,₹200-500,Night,,
4/2/2026 12:17:07,18-21,Burger King,Chaayos,3-5 times a week,Mostly offline,Swiggy,₹200-500,Night,,
4/2/2026 12:17:27,18-21,McDonalds,Barista,Daily,Mostly online delivery,Zomato,1000+,Evening snacks,,
4/2/2026 12:18:12,Under 18,Dominos,Starbucks,Daily,50-50 both,Zomato,"₹500-1,000",Night,Thank you 😊,
4/2/2026 12:18:22,18-21,Burger King,Chaayos,3-5 times a week,Mostly online delivery,Zomato,₹200-500,Night,,
4/2/2026 12:19:27,18-21,Local fast food joints,Chaayos,Weekly,Mostly online delivery,Zomato,₹200-500,Night,,
4/2/2026 12:20:18,18-21,Burger King,Cafe Coffee Day (CCD),Weekly,50-50 both,Swiggy,₹200-500,Night,,
4/2/2026 12:21:03,18-21,Dominos,Cafe Coffee Day (CCD),3-5 times a week,Mostly online delivery,Direct from restaurant app,₹200-500,Lunch,,
4/2/2026 12:22:01,18-21,Burger King,Starbucks,2-3 times a month,50-50 both,Zomato,₹200-500,Evening snacks,,
4/2/2026 12:23:48,18-21,Dominos,Homemade,3-5 times a week,Mostly online delivery,Direct from restaurant app,₹200-500,Night,,
4/2/2026 12:24:28,18-21,Local fast food joints,Cafe Coffee Day (CCD),3-5 times a week,50-50 both,Swiggy,"₹500-1,000",Night,,
4/2/2026 12:24:42,18-21,Burger King,Local cafes,2-3 times a month,Mostly offline,Zomato,₹200-500,Lunch,,
4/2/2026 12:25:22,18-21,Pizza Hut,Starbucks,Rarely,50-50 both,Zomato,"₹500-1,000",Night,,
4/2/2026 12:25:38,18-21,Local fast food joints,Local cafes,2-3 times a month,Mostly offline,Zomato,₹200-500,Evening snacks,,
4/2/2026 12:28:00,Under 18,Taco Bell,Costa Coffee,Weekly,Mostly online delivery,Zepto Cafe,₹200-500,Night,,
4/2/2026 12:28:46,18-21,Local fast food joints,Costa Coffee,Weekly,50-50 both,Zomato,₹200-500,Night,,
4/2/2026 12:29:13,18-21,Burger King,Starbucks,Daily,50-50 both,Swiggy,1000+,Night,Dhanyawad ,
4/2/2026 12:29:19,18-21,Dominos,Local cafes,Weekly,Mostly online delivery,Zomato,₹200-500,Night,,
4/2/2026 12:29:30,18-21,Dominos,Local cafes,3-5 times a week,Mostly online delivery,Swiggy,₹200-500,Evening snacks,,
4/2/2026 12:30:13,18-21,McDonalds,Local cafes,Weekly,Mostly offline,Direct from restaurant app,₹200-500,Night,,
4/2/2026 12:30:38,Under 18,Burger King,Starbucks,Daily,50-50 both,Zomato,1000+,Night,Dhanyawad ,
4/2/2026 12:30:46,18-21,Dominos,Local cafes,Weekly,Mostly online delivery,Swiggy,"₹500-1,000",Night,It was fun to answer this question ,
4/2/2026 12:31:26,18-21,Local fast food joints,Local cafes,3-5 times a week,50-50 both,Zepto Cafe,₹200-500,Evening snacks,,
4/2/2026 12:31:31,18-21,Dominos,Local cafes,Weekly,50-50 both,Zomato,"₹500-1,000",Evening snacks,,
4/2/2026 12:31:56,Above 30,McDonalds,Tim Hortons,Rarely,Mostly online delivery,Swiggy,"₹500-1,000",Night,Ohk ,
4/2/2026 12:32:03,18-21,Dominos,Starbucks,2-3 times a month,Mostly online delivery,Zomato,₹200-500,Night,,
4/2/2026 12:32:12,18-21,Dominos,Local cafes,Weekly,50-50 both,Zomato,"₹500-1,000",Evening snacks,,
4/2/2026 12:33:58,18-21,Local fast food joints,Local cafes,Weekly,Mostly offline,Zomato,₹200-500,Night,,
4/2/2026 12:35:48,18-21,KFC,Barista,Rarely,Mostly online delivery,Zomato,1000+,Night,,
4/2/2026 12:36:24,18-21,McDonalds,Barista,2-3 times a month,50-50 both,Zomato,₹200-500,Evening snacks,,
4/2/2026 12:37:55,18-21,Burger King,Local cafes,Weekly,Mostly online delivery,Zomato,₹200-500,Night,,
4/2/2026 12:39:16,18-21,Dominos,Starbucks,2-3 times a month,Mostly online delivery,Swiggy,₹200-500,Night,,
4/2/2026 12:40:26,18-21,Burger King,Cafe Coffee Day (CCD),Daily,Mostly online delivery,Zomato,₹200-500,Night,Thank u,
4/2/2026 12:41:35,18-21,Burger King,Cafe Coffee Day (CCD),Weekly,50-50 both,Zomato,"₹500-1,000",Lunch,,
4/2/2026 12:43:46,18-21,Dominos,Starbucks,Weekly,Mostly online delivery,Zomato,"₹500-1,000",Night,,
4/2/2026 12:44:15,18-21,McDonalds,Local cafes,Weekly,50-50 both,Zomato,₹200-500,Night,,
4/2/2026 12:44:45,18-21,KFC,Local cafes,Weekly,Mostly online delivery,Zomato,"₹500-1,000",Night,,
4/2/2026 12:45:14,18-21,KFC,Starbucks,Weekly,Mostly online delivery,Zomato,"₹500-1,000",Night,,
4/2/2026 12:45:55,18-21,Burger King,Local cafes,Rarely,Mostly online delivery,Direct from restaurant app,₹200-500,Night,,
4/2/2026 12:46:03,18-21,McDonalds,Starbucks,3-5 times a week,50-50 both,Swiggy,₹200-500,Night,,
4/2/2026 12:46:17,18-21,Burger King,Chaayos,Weekly,50-50 both,Zomato,₹200-500,Night,,
4/2/2026 12:46:39,Under 18,Burger King,Local cafes,Rarely,Mostly online delivery,Direct from restaurant app,₹200-500,Night,,
4/2/2026 12:49:09,18-21,KFC,Local cafes,Weekly,Mostly online delivery,Zomato,₹200-500,Night,Thank you ,
4/2/2026 12:53:16,18-21,Burger King,Starbucks,3-5 times a week,50-50 both,Zomato,1000+,Evening snacks,,
4/2/2026 12:53:36,18-21,Pizza Hut,Starbucks,2-3 times a month,50-50 both,Zepto Cafe,₹200-500,Night,,
4/2/2026 12:54:35,18-21,Burger King,Chaayos,Weekly,50-50 both,Zomato,₹200-500,Evening snacks,,
4/2/2026 12:55:06,18-21,Yadav chaat bhandar ,Gupta ji chai wale ,Daily,Mostly online delivery,Swiggy,1000+,Night,,
4/2/2026 12:58:37,18-21,Burger King,Starbucks,Weekly,50-50 both,Zomato,₹200-500,Evening snacks,,
4/2/2026 12:59:34,18-21,Pizza Hut,Cafe Coffee Day (CCD),3-5 times a week,Mostly offline,Zomato,₹200-500,Night,,
4/2/2026 13:01:57,18-21,Burger King,Local cafes,3-5 times a week,Mostly online delivery,Zomato,₹200-500,Night,"Your welcome, Glad that I could help ",
4/2/2026 13:02:01,18-21,Local fast food joints,I don’t like coffee,Weekly,Mostly online delivery,Zomato,₹200-500,Night,,
4/2/2026 13:16:14,18-21,Burger King,Cafe Coffee Day (CCD),Weekly,50-50 both,Zomato,₹200-500,Night,,
4/2/2026 13:24:34,18-21,Dominos,Costa Coffee,Weekly,50-50 both,Zomato,₹200-500,Evening snacks,Thanks,
4/2/2026 13:29:41,18-21,Burger King,Local cafes,Weekly,Mostly online delivery,Zomato,₹200-500,Evening snacks,,
4/2/2026 14:08:37,Under 18,Pizza Hut,Starbucks,Daily,Mostly online delivery,Magicpin,"₹500-1,000",Lunch,,
4/2/2026 14:11:16,18-21,McDonalds,Local cafes,2-3 times a month,50-50 both,Zomato,₹200-500,Night,,
4/2/2026 14:17:04,18-21,Burger King,Starbucks,3-5 times a week,50-50 both,Zepto Cafe,₹200-500,Evening snacks,,
4/2/2026 14:18:40,18-21,Local fast food joints,Local cafes,Weekly,50-50 both,Swiggy,₹200-500,Night,Welcome!,
4/2/2026 14:22:02,18-21,McDonalds,Local cafes,3-5 times a week,Mostly offline,Swiggy,₹200-500,Evening snacks,,
4/2/2026 14:35:15,18-21,Dominos,Local stalls,3-5 times a week,50-50 both,Zomato,₹200-500,Night,,
4/2/2026 15:03:51,18-21,Burger King,Local cafes,Weekly,50-50 both,Zomato,"₹500-1,000",Night,,
4/2/2026 16:15:55,18-21,Local fast food joints,Barista,3-5 times a week,50-50 both,Swiggy,₹200-500,Night,,
4/2/2026 16:18:52,18-21,Pizza Hut,Cafe Coffee Day (CCD),3-5 times a week,Mostly online delivery,Zomato,"₹500-1,000",Lunch,,
4/2/2026 16:32:42,18-21,Local fast food joints,Local cafes,3-5 times a week,Mostly online delivery,Swiggy,₹200-500,Night,,
4/2/2026 16:39:49,18-21,Burger King,Local cafes,2-3 times a month,50-50 both,Swiggy,₹200-500,Night,,
4/2/2026 17:21:04,18-21,McDonalds,None,2-3 times a month,Mostly online delivery,Swiggy,₹200-500,Night,,
4/2/2026 17:28:23,18-21,Local fast food joints,Chaayos,Weekly,Mostly online delivery,Zomato,₹200-500,Night,,
4/2/2026 18:15:24,18-21,Aloo paratha,Badnaam chay ,Rarely,50-50 both,Swiggy,₹200-500,Night,,
4/2/2026 18:17:59,,Dominos,Cafe Coffee Day (CCD),Rarely,Mostly offline,Magicpin,"₹500-1,000",Evening snacks,,
4/2/2026 18:27:33,18-21,Local fast food joints,Local cafes,2-3 times a month,Mostly offline,Zepto Cafe,₹200-500,Night,,
4/3/2026 22:43:14,18-21,Dominos,Cafe Coffee Day (CCD),2-3 times a month,50-50 both,Zomato,₹200-500,Night,,
4/3/2026 22:46:12,21-25,KFC,Tim Hortons,Rarely,Mostly offline,Zomato,₹200-500,Night,🖕🏻,
4/3/2026 22:48:24,18-21,Dominos,Starbucks,Weekly,50-50 both,Zepto Cafe,"₹500-1,000",Lunch,,
4/3/2026 22:49:45,18-21,Local fast food joints,Local cafes,Weekly,50-50 both,Swiggy,₹200-500,Evening snacks,,
4/4/2026 22:02:18,18-21,Local fast food joints,Local cafes,Rarely,50-50 both,Zepto Cafe,₹200-500,Lunch,,
4/5/2026 14:08:35,18-21,McDonalds,Barista,2-3 times a month,Mostly offline,Magicpin,"₹500-1,000",Evening snacks,,
4/7/2026 22:41:33,18-21,KFC,Ram Kumar Chai Shop,2-3 times a month,Mostly offline,Swiggy,₹200-500,Night,I'm too broke to buy from anywhere except my local biryani wala. 🥹,
4/7/2026 22:43:06,18-21,McDonalds,Tim Hortons,3-5 times a week,Mostly online delivery,Swiggy,"₹500-1,000",Night,Thankyou ,
4/7/2026 22:45:02,18-21,Local fast food joints,"None, too broke",Weekly,50-50 both,Swiggy,₹200-500,Night,,
4/7/2026 22:47:51,18-21,Burger King,Starbucks,Weekly,50-50 both,Zepto Cafe,₹200-500,Evening snacks,,
4/7/2026 22:49:07,18-21,Dominos,Barista,Weekly,50-50 both,Zomato,"₹500-1,000",Night,,
4/7/2026 23:03:27,18-21,Local fast food joints,Local cafes,Weekly,50-50 both,Swiggy,₹200-500,Lunch,,
4/7/2026 23:13:01,18-21,Dominos,Barista,2-3 times a month,Mostly online delivery,Swiggy,₹200-500,Night,okie!!,
4/7/2026 23:19:29,21-25,Burger King,Local cafes,2-3 times a month,Mostly online delivery,Swiggy,₹200-500,Night,welcome,
4/7/2026 23:28:39,21-25,Burger King,Starbucks,Weekly,50-50 both,Swiggy,₹200-500,Night,,
4/8/2026 0:32:04,21-25,Dominos,Local cafes,Weekly,50-50 both,Swiggy,₹200-500,Night,,
4/8/2026 1:19:51,18-21,Subway,Starbucks,2-3 times a month,50-50 both,Zomato,"₹500-1,000",Night,,
4/8/2026 1:43:09,21-25,Dominos,Rajawadi chai,Rarely,Mostly offline,Prefer take aways,₹200-500,Evening snacks,"Online food ordering is getting very cheap in India and because of that Indians are getting fat/unhealthy/unfit. Fast food from local vendors are the most  trending in India 80% of Indian population prefer that. Lastly, people are very poor in India, dining out is only feasible for top 40% of the population.",
4/8/2026 5:09:46,18-21,Subway,Barista,2-3 times a month,50-50 both,Zomato,₹200-500,Night,,
4/8/2026 13:55:52,26-30,KFC,Cafe Coffee Day (CCD),Weekly,Mostly offline,Zepto Cafe,₹200-500,Evening snacks,,
4/8/2026 14:06:12,18-21,Taco Bell,Local cafes,Weekly,50-50 both,Zomato,"₹500-1,000",Breakfast,Okay,
4/8/2026 14:06:13,21-25,Subway,Tim Hortons,2-3 times a month,Mostly online delivery,Magicpin,"₹500-1,000",Evening snacks,Good enough,
4/8/2026 14:06:31,18-21,Subway,Starbucks,Rarely,Mostly online delivery,Magicpin,₹200-500,Lunch,Average experience,
4/8/2026 14:06:33,26-30,Taco Bell,Local cafes,2-3 times a month,Mostly online delivery,Zomato,"₹500-1,000",Evening snacks,Okay,
4/8/2026 14:06:35,21-25,Subway,Barista,Daily,Mostly offline,Direct from restaurant app,₹200-500,Evening snacks,Needs improvement,
4/8/2026 14:06:36,21-25,Taco Bell,Chaayos,2-3 times a month,50-50 both,Zepto Cafe,"₹500-1,000",Night,Fine,
4/8/2026 14:06:51,Above 30,McDonalds,Chaayos,Rarely,Mostly offline,Swiggy,"₹500-1,000",Breakfast,Fine,
4/8/2026 14:06:53,18-21,Pizza Hut,Costa Coffee,2-3 times a month,Mostly offline,Zomato,₹200-500,Lunch,Average experience,
4/8/2026 14:06:55,21-25,Dominos,Cafe Coffee Day (CCD),Rarely,Mostly online delivery,Swiggy,"₹500-1,000",Breakfast,Good enough,
4/8/2026 14:06:56,21-25,McDonalds,Barista,Weekly,50-50 both,Magicpin,1000+,Lunch,Pretty good,
4/8/2026 14:07:11,Above 30,Local fast food joints,Cafe Coffee Day (CCD),2-3 times a month,Mostly offline,Zepto Cafe,₹200-500,Lunch,No comments,
4/8/2026 14:07:13,26-30,Subway,Local cafes,Daily,Mostly online delivery,Zomato,1000+,Evening snacks,Could be faster,
4/8/2026 14:07:15,26-30,Pizza Hut,Starbucks,Daily,Mostly online delivery,Direct from restaurant app,1000+,Evening snacks,Needs improvement,
4/8/2026 14:07:15,Above 30,KFC,Cafe Coffee Day (CCD),Daily,50-50 both,Direct from restaurant app,1000+,Breakfast,Pretty good,
4/8/2026 14:07:31,Under 18,Local fast food joints,Starbucks,3-5 times a week,50-50 both,Magicpin,₹200-500,Lunch,No specific issues,
4/8/2026 14:07:34,26-30,Taco Bell,Costa Coffee,Daily,Mostly offline,Magicpin,"₹500-1,000",Night,Could be faster,
4/8/2026 14:07:35,18-21,Burger King,Cafe Coffee Day (CCD),Rarely,Mostly offline,Swiggy,"₹500-1,000",Breakfast,Overall satisfied,
4/8/2026 14:07:51,Above 30,KFC,Tim Hortons,2-3 times a month,50-50 both,Direct from restaurant app,₹200-500,Breakfast,Fine,
4/8/2026 14:07:54,Above 30,Taco Bell,Local cafes,3-5 times a week,Mostly online delivery,Zepto Cafe,"₹500-1,000",Evening snacks,Fine,
4/8/2026 14:07:54,Under 18,Local fast food joints,Barista,2-3 times a month,Mostly offline,Zomato,"₹500-1,000",Night,Good enough,
4/8/2026 14:07:57,26-30,Dominos,Local cafes,Daily,Mostly offline,Magicpin,₹200-500,Breakfast,Overall satisfied,
4/8/2026 14:08:11,Above 30,Wendy's,Local cafes,2-3 times a month,Mostly offline,Direct from restaurant app,1000+,Breakfast,Fine,
4/8/2026 14:08:14,Above 30,Wendy's,Barista,3-5 times a week,Mostly offline,Zepto Cafe,"₹500-1,000",Lunch,Okay,
4/8/2026 14:08:15,18-21,Taco Bell,Starbucks,Daily,50-50 both,Magicpin,₹200-500,Lunch,Overall satisfied,
4/8/2026 14:08:17,21-25,KFC,Barista,3-5 times a week,Mostly online delivery,Zepto Cafe,₹200-500,Evening snacks,Good enough,
4/8/2026 14:18:58,Under 18,KFC,Cafe Coffee Day (CCD),3-5 times a week,Mostly online delivery,Direct from restaurant app,₹200-500,Night,This has been an amazing journey! The perfect ease of ordering. Highly recommended.,
4/8/2026 14:19:00,Above 30,Local fast food joints,Costa Coffee,Rarely,50-50 both,Magicpin,₹200-500,Evening snacks,I really love this service! The stellar ease of ordering. Best I've used so far.,
4/8/2026 14:19:21,21-25,Wendy's,Starbucks,Daily,Mostly offline,Zepto Cafe,1000+,Breakfast,"Just wanted to say, The stellar customer support",
4/8/2026 14:19:27,Under 18,McDonalds,Cafe Coffee Day (CCD),Rarely,50-50 both,Zomato,"₹500-1,000",Night,This has been an amazing journey! The fantastic real-time order tracking! Keep it up!,
4/8/2026 14:19:27,Above 30,McDonalds,Costa Coffee,Weekly,Mostly offline,Direct from restaurant app,1000+,Breakfast,Great job guys! The stellar overall delivery experience. Will definitely order again.,
4/8/2026 14:19:28,18-21,Wendy's,Costa Coffee,2-3 times a month,50-50 both,Zomato,"₹500-1,000",Lunch,This has been an amazing journey! The fast and reliable delivery speed! Keep it up!,
4/8/2026 14:19:46,18-21,McDonalds,Barista,2-3 times a month,50-50 both,Zepto Cafe,1000+,Night,Great job guys! The great customer support. 5/5 stars from me.,
4/8/2026 14:19:50,Under 18,McDonalds,Barista,Rarely,50-50 both,Zepto Cafe,"₹500-1,000",Breakfast,"Just wanted to say, The flawless user interface! Keep it up!",
4/8/2026 14:19:55,Above 30,Local fast food joints,Cafe Coffee Day (CCD),Daily,Mostly offline,Direct from restaurant app,₹200-500,Breakfast,I really love this service! The great overall delivery experience. Best I've used so far.,
4/8/2026 14:19:57,21-25,Subway,Barista,3-5 times a week,Mostly online delivery,Zomato,1000+,Lunch,This has been an amazing journey! The great real-time order tracking. Will definitely order again.,
4/8/2026 14:20:10,18-21,Pizza Hut,Local cafes,Daily,Mostly offline,Zepto Cafe,1000+,Evening snacks,I'm very impressed. The top-notch real-time order tracking! Keep it up!,
4/8/2026 14:20:16,26-30,Wendy's,Starbucks,Daily,Mostly offline,Magicpin,"₹500-1,000",Lunch,Absolutely fantastic experience. The fantastic app design. Thank you!,
4/8/2026 14:20:21,Under 18,Taco Bell,Chaayos,Daily,Mostly offline,Zepto Cafe,₹200-500,Breakfast,This has been an amazing journey! The wonderful ease of ordering. Will definitely order again.,
4/8/2026 14:20:24,Under 18,Taco Bell,Chaayos,3-5 times a week,Mostly offline,Zepto Cafe,"₹500-1,000",Breakfast,"I usually don't leave feedback, but The flawless restaurant selection. Thank you!",
4/8/2026 14:20:33,Under 18,Subway,Local cafes,Daily,Mostly offline,Magicpin,1000+,Breakfast,This has been an amazing journey! The great delivery speed. Looking forward to more.,
4/8/2026 14:24:52,Above 30,McDonalds,Cafe Coffee Day (CCD),Weekly,Mostly online delivery,Magicpin,1000+,Lunch,,
4/8/2026 14:24:57,Under 18,McDonalds,Chaayos,Weekly,Mostly offline,Zepto Cafe,"₹500-1,000",Breakfast,Really flawless ease of ordering! Keep it up!,
4/8/2026 14:25:14,Above 30,McDonalds,Costa Coffee,Daily,Mostly offline,Zomato,1000+,Evening snacks,perfect,
4/8/2026 14:25:17,21-25,Burger King,Tim Hortons,Rarely,Mostly online delivery,Swiggy,₹200-500,Breakfast,nice,
4/8/2026 14:25:17,21-25,McDonalds,Barista,Rarely,50-50 both,Magicpin,"₹500-1,000",Breakfast,awesome,
4/8/2026 14:25:20,Above 30,Dominos,Barista,3-5 times a week,Mostly online delivery,Zomato,₹200-500,Evening snacks,"I usually don't leave feedback, but The great restaurant selection! Keep it up!",
